
현재 판매가격(충전소)

기준일자 : 20170202,,,,,,(단위 : 원/리터)
고유번호,지역,상호,주소,상표,셀프여부,LPG

A0010084,서울 중랑구,(주)풍림에너지,서울 중랑구 동일로 553 (면목동),GS칼텍스,일반,841
A0010087,서울 중랑구,동일석유(주)황금충전소,서울 중랑구 망우로 209 (중화동),SK에너지,일반,841
A0000898,서울 서초구,(주)영동가스,서울 서초구 잠원로 183 (잠원동),SK에너지,일반,845
A0000904,서울 서초구,서초충전소,서울 서초구 남부순환로 2224 (방배동),SK에너지,일반,844
A0000906,서울 서초구,수도석유(주)방배충전소,서울특별시 서초구 동작대로 26,S-OIL,일반,840
A0011826,서울 서초구,만남의광장주유소,서울 서초구 양재대로12길 73-71 (원지동),GS칼텍스,일반,829
A0010168,서울 송파구,강동LPG충전소,서울 송파구 삼전로 47 (잠실동),SK가스,일반,841
A0010171,서울 송파구,홍익에너지(주),서울 송파구 석촌호수로 242 (석촌동),E1,일반,844
A0011829,서울 송파구,오금가스충전소,서울 송파구 마천로 103 (오금동),SK에너지,일반,843
A0009320,서울 광진구,현대오일뱅크중곡동충전소,서울특별시 광진구 동일로 323 (중곡동),현대오일뱅크,일반,842
A0009415,서울 광진구,한양에너지(주)충전소,서울 광진구 동일로 381 (중곡동),SK에너지,일반,842
A0009416,서울 광진구,(주)해양가스,서울특별시 광진구 자양로 77 (자양동),SK에너지,일반,842
A0009625,서울 강북구,국제가스공업(주),서울 강북구 덕릉로24길 6 (수유동),SK에너지,일반,842
A0009627,서울 강북구,서울와사공업(주),서울 강북구 도봉로 318 (번동),SK가스,일반,841
A0009630,서울 강북구,(주)청학에너지,서울 강북구 한천로 833 (번동),SK에너지,일반,841
A0001135,서울 금천구,(주)중앙에너비스삼중가스지점,서울 금천구 시흥대로 314 (독산동),SK에너지,일반,845
A0000095,경기 수원시,세류역LPG충전소,경기 수원시 권선구 정조로 316 (권선동),SK에너지,일반,793
A0000726,경기 수원시,남선LPG충전소,경기 수원시 권선구 고색동 332,GS칼텍스,일반,737
A0002042,경기 수원시,동수원톨게이트충전소,경기 수원시 영통구 창룡대로 369  (이의동),GS칼텍스,일반,785
A0002054,경기 수원시,평동LPG충전소,경기 수원시 권선구 매송고색로 864 (평동),GS칼텍스,일반,737
A0002515,경기 수원시,경수LPG충전소,경기도 수원시 권선구 정조로 296,E1,일반,793
A0002520,경기 수원시,고색 자연 LPG충전소,경기 수원시 권선구 매송고색로 650 (고색동),SK에너지,일반,739
A0002530,경기 수원시,극동산업(주),경기 수원시 팔달구 매산로 40 (매산로2가),S-OIL,일반,760
A0002531,경기 수원시,(주)수일가스충전소,경기 수원시 권선구 평동로 31 (고색동),SK에너지,일반,783
A0002536,경기 수원시,창진가스에너지(주),경기 수원시 권선구 서수원로 21 (오목천동),SK에너지,일반,810
