
현재 판매가격(충전소)

기준일자 : 20170202,,,,,,(단위 : 원/리터)
고유번호,지역,상호,주소,상표,셀프여부,LPG

A0024679,경기 안성시,비봉주유소,경기도 안성시 죽산면 서동대로 6617,SK에너지,일반,745
A0001601,경기 김포시,유카스에너지,경기도 김포시 양촌읍 김포대로 1581,SK에너지,셀프,798
A0007604,경기 김포시,선진버스(주) 걸포가스충전소,경기도 김포시  감암로 127 (걸포동),SK에너지,일반,770
A0007712,경기 김포시,김포강변충전소,경기도 김포시 월곶면 김포대로 3013,SK에너지,일반,797
A0007805,경기 김포시,대현E&C,경기 김포시 금파로 12 (걸포동),SK에너지,일반,820
A0007883,경기 김포시,금파충전소,경기도 김포시 금파로 20,GS칼텍스,일반,820
A0007961,경기 김포시,해뜨는충전소,경기도 김포시 양촌읍 봉수대로 1821,SK에너지,일반,819
A0007992,경기 김포시,서일산업(주)김포가스,경기 김포시 김포대로 1454 (운양동),SK에너지,일반,830
A0008005,경기 김포시,다원에프엔씨(주) 통진충전소,경기도 김포시 통진읍 김포대로 2055,SK가스,일반,830
A0008081,경기 김포시,㈜징검동양충전소,경기 김포시 대곶면 대명학로 532,SK에너지,일반,833
A0008086,경기 김포시,KH에너지(주) 직영 김포충전소,경기도 김포시 대곶면 대곶북로 141,SK가스,일반,789
A0011951,경기 김포시,(주)청양LPG 알찬충전소,경기도 김포시 고촌읍 김포대로451번길 10,자가상표,일반,798
A0011952,경기 김포시,SK고촌LPG충전소,경기도 김포시 고촌읍 태장로 70,SK에너지,일반,798
A0032955,경기 김포시,(주)영동가스직영 김포충전소,경기도 김포시 고촌읍 김포대로 597,SK가스,일반,798
A0033023,경기 김포시,올림픽충전소,경기도 김포시 고촌읍 개화동로 236,SK가스,일반,788
A0033024,경기 김포시,(주)국도에너지,경기도 김포시 고촌읍 김포대로 70,SK가스,일반,798
A0000712,강원 춘천시,동보충전소(SK),강원 춘천시 춘천로 331 (후평동),SK에너지,일반,837
A0006830,강원 춘천시,안보충전소,강원 춘천시 서면 경춘로 751,SK가스,일반,797
A0010283,강원 춘천시,남춘천충전소,강원 춘천시 신동면 김유정로 1702,GS칼텍스,일반,841
A0010298,강원 춘천시,강촌가스충전소,강원도 춘천시 서면 경춘로 1014,현대오일뱅크,일반,797
A0010354,강원 춘천시,춘천터미널충전소,강원 춘천시 경춘로 2167 (온의동),SK가스,일반,827
A0010357,강원 춘천시,엔탑에너지,강원도 춘천시 동면 한솔만천로 3,SK가스,일반,838
A0010366,강원 춘천시,장학충전소,강원도 춘천시 동면 춘천순환로 913,S-OIL,일반,837
A0010386,강원 춘천시,동춘천오렌지충전소,강원 춘천시 동내면 순환대로 758,E1,일반,819
A0010420,강원 춘천시,춘천호반LPG충전소(명변),강원도 춘천시 영서로 2986,E1,일반,839
A0010426,강원 춘천시,춘천오렌지충전소,강원도 춘천시 동면 후만로 158,E1,일반,838
A0010446,강원 춘천시,춘성고려LPG충천소,강원 춘천시 사북면 영서로 4905,E1,일반,833
A0010465,강원 춘천시,주)춘천개인택시가스,강원도 춘천시 옛경춘로 743 (삼천동),E1,일반,838
A0010467,강원 춘천시,경춘가스충전소,강원 춘천시 동면 춘천로 523,S-OIL,일반,837
A0010473,강원 춘천시,(주)중부에너지 GS신동주유소충전소,강원 춘천시 신동면 경춘로 1757,GS칼텍스,일반,809
A0010480,강원 춘천시,NS에너지(주)춘천충전소,강원 춘천시 공지로 681,GS칼텍스,일반,837
A0010508,강원 춘천시,(주)원일유통춘천(상)주유소,강원 춘천시 동내면 동내로 341-19,SK에너지,일반,843
A0010509,강원 춘천시,중앙LPG충전소,강원 춘천시 동내면 영서로 1864,GS칼텍스,일반,839
A0010529,강원 춘천시,㈜가스코 유정에너지,강원도 춘천시 신동면 한치로 966-176,GS칼텍스,셀프,803
A0032681,강원 춘천시,춘천LPG충전소, 강원도 춘천시 경춘로 2307,E1,일반,838
A0010218,강원 원주시,치악(부산)방향주유소,강원 원주시 신림면 치악로 416,SK가스,일반,849
A0010219,강원 원주시,치악(춘천)방향주유소,강원도 원주시 신림면 다리실2길 32,SK에너지,셀프,847
A0010908,강원 원주시,원흥LPG충전소,강원 원주시 문막읍 원문로 1415,SK가스,일반,822
A0010917,강원 원주시,삼웅에너지북원주충전소,강원 원주시 소초면 북원로 3095,E1,일반,838
A0010984,강원 원주시,대흥LPG충전소, 강원도 원주시 원문로 328 (단계동,SK에너지,일반,837
A0011039,강원 원주시,북원충전소,강원 원주시 서원대로 497  (단구동),SK에너지,일반,837
A0011053,강원 원주시,봉화산충전소,강원 원주시 로아노크로 36  (무실동),SK가스,일반,837
A0011068,강원 원주시,떠오름충전소,강원도 원주시 소초면 치악로 2918,SK에너지,일반,839
A0011076,강원 원주시,신우에너지(자),강원 원주시 호저면 원문로 497,E1,일반,837
A0011079,강원 원주시,남원주LPG충전소,강원 원주시 행가리1길 2 (무실동),E1,일반,838
A0011098,강원 원주시,학성LPG충전소,강원 원주시 강변로 629 (학성동),S-OIL,일반,827
A0011118,강원 원주시,(자)정우에너지,강원도 원주시 북원로 2826,E1,일반,838
A0011123,강원 원주시,(합)원주엘피지,강원 원주시 호저면 신무로 10,S-OIL,일반,768
A0011126,강원 원주시,(주)지엔에스 남원주역충전소,강원 원주시 판부면 남원로 259,SK가스,일반,784
A0011127,강원 원주시,(주)삼웅에너지서원주충전소,강원 원주시 문막읍 원문로 1342,E1,일반,837
A0011142,강원 원주시,(주)두원산업융진충전소,강원도 원주시  북원로 2302 (단계동),GS칼텍스,일반,837
A0011170,강원 원주시,문막(하)주유소/충전소,강원 원주시 문막읍 원문로 1234-1,현대오일뱅크,일반,834
A0011186,강원 원주시,(주)광동유통원주상주유소/충전소,강원 원주시 호저면 마근거리길 120,현대오일뱅크,일반,838
A0011199,강원 원주시,신원주충전소,강원 원주시 판부면 치악로 1155,E1,일반,837
A0011202,강원 원주시,(주)한길에너지 가현주유소,강원 원주시 호저로 230 (가현동),GS칼텍스,일반,830
A0011205,강원 원주시,동원주LPG충전소, 강원도 원주시 동부순환로 101 (반곡동),E1,일반,837
A0011383,강원 원주시,흥업충전소,강원 원주시 흥업면 북원로 1700,GS칼텍스,일반,832
A0032916,강원 원주시,정지뜰lpg충전소,강원도 원주시  강변로 783,SK가스,일반,834
A0011340,강원 강릉시,동방가스충전소,강원도 강릉시 율곡로 2572,SK에너지,일반,811
A0011395,강원 강릉시,주문진충전소,강원 강릉시 연곡면 연주로 156,SK에너지,일반,807
A0011400,강원 강릉시,송은LPG충전소,강원 강릉시 사천면 동해대로 3710,GS칼텍스,일반,808
A0011433,강원 강릉시,하슬라충전소,강원 강릉시 강동면 동해대로 1885,GS칼텍스,일반,792
A0011470,강원 강릉시,SK동해충전소,강원 강릉시 율곡로 3054 (교동),SK에너지,일반,817
A0011478,강원 강릉시,SK신일충전소,강원도 강릉시  경강로 1885 (홍제동),SK가스,일반,819
A0011494,강원 강릉시,강릉충전소,강원도 강릉시 성덕포남로149번길 1 (포남동),GS칼텍스,일반,817
A0011517,강원 강릉시,(합자)동아가스,강원 강릉시 강변로 548 (입암동),S-OIL,일반,810
A0011521,강원 강릉시,(주)강릉개인택시충전소, 강원도 강릉시 강변로 636-5,GS칼텍스,일반,810
A0011522,강원 강릉시,동방도시가스산업(주),강원 강릉시 연곡면 동해대로 4076,E1,일반,808
A0011524,강원 강릉시,강릉가스에너지(주),강원 강릉시 율곡로 3091 (교동),S-OIL,일반,818
A0011554,강원 강릉시,kis정보통신(주)강릉(강릉방향)주유소,강원도 강릉시 성산면 영동고속도로 232-1,GS칼텍스,일반,834
A0011555,강원 강릉시,(주)KIS 강릉(인천방향)주유소,강원도 강릉시 영동고속도로 231-1 강릉(인천방향)주유소,GS칼텍스,일반,834
A0011575,강원 강릉시,(주)다원연곡엘피가스충전소,강원도 강릉시 연곡면 동해대로 4069,GS칼텍스,일반,808
A0011588,강원 강릉시,오죽헌충전소,강원 강릉시 율곡로 3209 (죽헌동),E1,일반,794
A0011608,강원 강릉시,옥계(속초)주유소/충전소,강원도 강릉시 옥계면 동해고속도로 322,SK에너지,일반,825
A0011714,강원 속초시,영동에너지,강원도 속초시 동해대로 3859 (대포동),SK가스,일반,837
A0011738,강원 속초시,(주)원경부흥가스충전소,강원 속초시 동해대로 3900 (조양동),GS칼텍스,일반,827
A0011739,강원 속초시,(주)속초개인택시가스충전소,강원 속초시 동해대로 4521 (장사동),SK가스,일반,837
A0011751,강원 속초시,주식회사영동가스산업,강원도 속초시 미시령로 3239 (교동),SK에너지,일반,837
A0011795,강원 속초시,대명LPG충전소,강원 속초시 미시령로 3197 (노학동),E1,일반,837
A0010545,강원 동해시,동해LPG충전소,강원 동해시 해안로 45 (용정동),E1,일반,827
A0010550,강원 동해시,대영자동차충전소,강원 동해시 발한로 531 (초구동),S-OIL,일반,792
A0010584,강원 동해시,공단가스 충전소,강원도 동해시 공단2로 15-9 (구호동),GS칼텍스,일반,789
A0010606,강원 동해시,단봉LPG충전소,강원 동해시 강원남부로 4654 (단봉동),SK에너지,일반,803
A0010660,강원 동해시,대경가스충전소(주),강원 동해시 동해대로 5165 (효가동),S-OIL,일반,797
A0010670,강원 동해시,삼영엘피지충전소,강원 동해시 해안로 17 (용정동),SK가스,일반,827
A0010679,강원 동해시,한국도로공사 동해주유소,강원 동해시 동해대로 6427 (망상동),GS칼텍스,일반,789
A0011519,강원 동해시,(주)e-대일충전소,강원도 동해시 동해대로 5271 외 360-3467번지 (천곡동),SK가스,일반,827
A0010565,강원 태백시,OK에너지,강원 태백시 동태백로 1141 (통동),S-OIL,일반,834
A0010630,강원 태백시,한길충전소,강원 태백시 태백로 853,SK에너지,일반,833
A0010659,강원 태백시,(주)화전LPG충전소,강원 태백시 태백로 398-11 (화전동),S-OIL,일반,834
A0011811,강원 태백시,황지가스,강원 태백시 상장남1길 9-1 (황지동),SK에너지,일반,834
A0011812,강원 태백시,(자)태백가스상사,강원도 태백시 태백로 1430 (문곡동),GS칼텍스,일반,834
A0003782,강원 삼척시,SK삼척충전소,강원 삼척시 마달길 4 (마달동),SK가스,일반,829
A0009962,강원 삼척시,태극가스충전소,강원도 삼척시 도계읍 강원남부로 1800,E1,일반,825
A0010671,강원 삼척시,원더풀 주식회사,강원도 삼척시  동해대로 3852 (오분동),SK가스,셀프,828
A0010678,강원 삼척시,삼척농협주유소/충전소,강원도 삼척시 동해대로 4298 (갈천동),S-OIL,일반,829
A0026758,강원 삼척시,삼척등봉충전소,강원 삼척시 오십천로 91 (등봉동),E1,일반,829
A0004358,강원 홍천군,삼마치LPG충전소,강원 홍천군 홍천읍 영서로 1502,E1,일반,814
A0006239,강원 홍천군,(주)엠에스주유소 홍천지점,도로명주소강원도 홍천군 홍천읍 설악로 2374,현대오일뱅크,일반,805
A0010719,강원 홍천군,장남에너지self,강원 홍천군 두촌면 장남길 81,E1,셀프,833
A0010791,강원 홍천군,설악로 주유소/충전소,강원 홍천군 홍천읍 설악로 2367,현대오일뱅크,일반,805
A0010827,강원 홍천군,두원에너지,강원 홍천군 북방면 홍천로 179,GS칼텍스,일반,839
A0010845,강원 홍천군,무궁화에너지, 강원도 홍천군 홍천읍 설악로 1277,SK에너지,일반,835
A0010851,강원 홍천군,(주)대현유통 홍천강(춘천방향)주유소/충전소,강원 홍천군 북방면 도사곡길 223,GS칼텍스,일반,781
A0014515,강원 홍천군,가샵가스충전소,강원 홍천군 홍천읍 설악로 1242,S-OIL,일반,834
A0010880,강원 횡성군,횡성오렌지충전소,강원도 횡성군 횡성읍 한우로 180,E1,일반,838
A0011067,강원 횡성군,횡성충전소,강원 횡성군 횡성읍 횡성로 68,SK에너지,일반,838
A0011166,강원 횡성군,(주)대현유통 횡성서창주유소,강원도 횡성군 안흥면 영동고속도로 153-1,S-OIL,일반,834
A0011188,강원 횡성군,(주)원일유통횡성(하)주유소/충전소,강원 횡성군 안흥면 영동고속도로 154-1,S-OIL,일반,843
A0032968,강원 횡성군,(주)동원에너지,강원도 횡성군 횡성읍 경강로 1531,GS칼텍스,일반,837
A0011226,강원 영월군,대경가스,강원 영월군 영월읍 영월로 2369,E1,일반,831
A0011244,강원 영월군,하송충전소,강원 영월군 영월읍 청령포로 12-6,E1,일반,831
A0011296,강원 영월군,영월LPG충전소,강원 영월군 북면 영월로 1172,E1,일반,824
A0011320,강원 영월군,태경에프엔지(주)동강주유소충전소,강원 영월군 남면 강원남로 641,SK에너지,일반,830
A0011002,강원 평창군,평창방림에너지,강원 평창군 방림면 서동로 1551,E1,일반,838
A0011359,강원 평창군,진부가스충전소,강원 평창군 진부면 면의동길 24,SK에너지,일반,798
A0011366,강원 평창군,평창(강릉방향)주유소충전소,강원도 평창군 용평면 경강로 2159-58 평창(강릉방향)주유소,SK에너지,일반,789
A0011367,강원 평창군,평창(서창)주유소/충전소,강원 평창군 용평면 탑거리길 63,현대오일뱅크,일반,798
A0011515,강원 평창군,동방산업(주)충전소,강원 평창군 용평면 경강로 1712,S-OIL,일반,840
A0011537,강원 평창군,강원엘피지,강원도 평창군 진부면 속사재길 292,SK가스,일반,740
A0011595,강원 평창군,(주)유강원지점충전소,강원 평창군 대관령면 경강로 5191,S-OIL,일반,868
A0011245,강원 정선군,관문충전소, 강원도 정선군 정선읍 용담길 12,SK에너지,일반,835
A0011283,강원 정선군,민둥산충전소,강원도 정선군 남면 강원남로 4997,E1,일반,830
A0011322,강원 정선군,하이원주유소충전소,강원도 정선군 신동읍 강원남로 4123,현대오일뱅크,셀프,835
A0004497,강원 철원군,동송LPG충전소,강원 철원군 동송읍 북원로 1022,E1,일반,830
A0004549,강원 철원군,신문혜충전소,강원 철원군 갈말읍 태봉로 1421,GS칼텍스,일반,834
A0011864,강원 철원군,철원충전소,강원 철원군 갈말읍 호국로 4426,E1,일반,812
A0010344,강원 화천군,화천고려LPG충전소,강원 화천군 하남면 춘화로 2818,E1,일반,833
A0010459,강원 양구군,양구가스충전소,강원 양구군 남면 정중앙로 182,S-OIL,일반,769
A0033004,강원 양구군,(주)배꼽충전소,강원도 양구군 남면 춘양로 2888,SK가스,일반,837
A0010744,강원 인제군,그린에너지,강원 인제군 북면 설악로 3251-28,S-OIL,일반,833
A0010807,강원 인제군,설악한계충전소,강원 인제군 북면 설악로 3254,SK가스,일반,833
A0010853,강원 인제군,에스엔에너지,강원도 인제군 인제읍 광치령로 125,S-OIL,일반,833
A0010855,강원 인제군,원경원통엘피지충전소,강원 인제군 인제읍 설악로 2400,S-OIL,일반,833
A0032885,강원 인제군,38선LPG충전소,강원도 인제군 남면 설악로 1129 (38휴게소),SK가스,일반,833
A0011634,강원 고성군,고성가스충전소,강원 고성군 죽왕면 동해대로 6604,S-OIL,일반,826
A0011770,강원 고성군,(주)대일가스고성지점,강원 고성군 간성읍 진부령로 2803,SK가스,일반,826
A0011668,강원 양양군,해당화주유소,강원도 양양군 현남면 동해대로 964,E1,일반,817
A0011713,강원 양양군,미래에너지,강원도 양양군 강현면 동해대로 3367,E1,일반,823
A0011784,강원 양양군,신우에너지(주)영진가스충전소,강원 양양군 손양면 동해대로 2041,SK가스,일반,814
A0011792,강원 양양군,(주)원경양양가스충전소,강원 양양군 양양읍 안산1길 26,SK에너지,일반,824
A0004010,충북 청주시,(주)케이알산업청원(상)주유소,충북 청주시 흥덕구 옥산면  경부고속도로 318,GS칼텍스,셀프,785
A0010211,충북 청주시,죽암(부산방향)주유소/충전소,충북 청주시 서원구 현도면 경부고속도로 287,SK에너지,셀프,838
A0012073,충북 청주시,석소LPG충전소,충청북도 청주시 흥덕구  가로수로 799 (석소동),E1,일반,769
A0012083,충북 청주시,명품 LPG충전소,충청북도 청주시 서원구산미로 41 (미평동),SK가스,일반,795
A0012097,충북 청주시,청원LPG충전소,충청북도 청주시 서원구 남이면 청남로 1038,E1,일반,774
A0012139,충북 청주시,동부LPG충전소,충북 청주시 상당구 이정골로 9 (용정동),SK가스,일반,798
A0012273,충북 청주시,동광에너지,충북 청주시 흥덕구 직지대로 52 (지동동),GS칼텍스,일반,769
A0012277,충북 청주시,동원가스충전소,충북 청주시 흥덕구 1순환로 404 (신봉동),S-OIL,일반,824
A0012316,충북 청주시,청주IC충전소, 충청북도 청주시 흥덕구 가로수로 1093 (비하동),SK가스,일반,779
A0012357,충북 청주시,법원충전소, 충청북도 청주시 서원구구룡산로 225,SK가스,일반,779
A0012368,충북 청주시,개인택시복지충전소,충청북도 청주시 서원구  사운로 175 (사직동),SK에너지,일반,822
A0012369,충북 청주시,SK청남가스충전소,충청북도 청주시 서원구  청남로1915번길 (미평동),SK에너지,일반,774
A0012371,충북 청주시,SK가스충청충전소,충북 청주시 흥덕구 가로수로1086번길 20  (비하동),SK가스,일반,818
A0012372,충북 청주시,청주LPG충전소,충북 청주시 흥덕구 직지대로 231,E1,일반,819
A0012398,충북 청주시,남이가스충전소,충북 청주시 서원구 남이면 청남로 1625-4,E1,일반,774
A0012413,충북 청주시,삼영가스(주), 충청북도 청주시 상당구 단재로 172,GS칼텍스,일반,824
A0012418,충북 청주시,(주)남청주가스,충북 청주시 상당구 단재로 348 (평촌동),SK가스,일반,822
A0012447,충북 청주시,중도석유(주)옥산주유소/충전소,충북 청주시 흥덕구 옥산면 오송가락로 770-71,GS칼텍스,셀프,820
A0012524,충북 청주시,서청주에너지(주),충청북도 청주시 흥덕구  평동로 7 (향정동),GS칼텍스,셀프,759
A0012734,충북 청주시,내수LPG충전소,충북 청주시 청원구 내수읍 묵방국동로 12,GS칼텍스,일반,778
A0013149,충북 청주시,(주)동원엘피지,충북 청주시 청원구 북이면 충청대로 1557,SK에너지,일반,783
A0015486,충북 청주시,미성LPG충전소,충북 청주시 상당구 남일면 교육원로 24,SK에너지,일반,769
A0016921,충북 청주시,삼선가스(주),충북 청주시 흥덕구 1순환로 632 (사창동),GS칼텍스,일반,824
A0016926,충북 청주시,청주개인택시엘피지충전소,충북 청주시 서원구 2순환로 1627 (미평동),SK에너지,일반,822
A0016930,충북 청주시,중도가스(주)청주영업소,충청북도 청주시 흥덕구  죽천로 51 (복대동),GS칼텍스,일반,766
A0016931,충북 청주시,중도가스(주)사직영업소, 충청북도 청주시 흥덕구 1순환로 428,GS칼텍스,일반,822
A0017168,충북 청주시,옥수LPG충전소,충청북도 청주시 청원구 북이면 중앙로 26,E1,일반,803
A0017232,충북 청주시,진영주유가스충전소,충북 청주시 상당구 미천고은로 152,GS칼텍스,셀프,798
A0017337,충북 청주시,세종LPG충전소,충북 청주시 청원구 오창읍 두릉유리로 337,S-OIL,일반,789
A0017338,충북 청주시,북청주LPG충전소,충북 청주시 청원구 공항로 149-1 (사천동),E1,일반,819
A0017340,충북 청주시,청주수름재LPG충전소,충청북도 청주시 청원구 충청대로 266 (주성동),E1,일반,819
A0017349,충북 청주시,문의IC충전소,충북 청주시 상당구 문의면 미천고은로 61,현대오일뱅크,일반,798
A0017366,충북 청주시,오창에너지(주)오창주유소,충청북도 청주시 청원구 오창읍 중부로 1365,GS칼텍스,셀프,822
A0017368,충북 청주시,오창IC만남주유소(SELF), 충청북도 청주시 청원구 오창읍 오창대로 415,SK가스,일반,819
A0017386,충북 청주시,신송가스충전소,충북 청주시 상당구 남일면 신송효촌길 5,자가상표,일반,769
A0017406,충북 청주시,㈜대성합동지주죽암주유소,충북 청주시 서원구 현도면 죽전3길 42,GS칼텍스,셀프,839
A0017414,충북 청주시,(주)용연지북충전소,충북 청주시 상당구 목련로 60,E1,일반,769
A0017417,충북 청주시,(주)용연 공항로충전소,충청북도 청주시 청원구 공항로 292,E1,일반,819
A0027459,충북 청주시,초정LPG충전소,충북 청주시 청원구 북이면 충청대로 1041,SK에너지,일반,791
A0008689,충북 충주시,수안보LPG충전소,충청북도 충주시 수안보면 중원대로 1712,SK에너지,일반,817
A0012759,충북 충주시,중원LPGAS충전소,충청북도 충주시 금가면 충원대로 1461,E1,일반,827
A0012956,충북 충주시,연수LPG충전소,충청북도 충주시 연수동 315-6,E1,일반,829
A0012961,충북 충주시,충주충전소,충북 충주시 중원대로 3123 (단월동),SK에너지,일반,827
A0012971,충북 충주시,용대LPG충전소,충청북도 충주시 앙성면 북부로 1075,E1,일반,835
A0013004,충북 충주시,SK동원충전소,충북 충주시 이류면 중원대로 4363,SK가스,일반,826
A0013005,충북 충주시,SK공단LPG충전소,충북 충주시 국원대로 366 (목행동),SK에너지,일반,827
A0013046,충북 충주시,충주LPG충전소,충청북도 충주시 팽고리산길 21,E1,일반,829
A0013055,충북 충주시,동충주IC충전소,충북 충주시 충원대로 1482,현대오일뱅크,일반,827
A0013057,충북 충주시,국제LPG충전소,충청북도 충주시 탄금대로 346  (칠금동),S-OIL,일반,829
A0013102,충북 충주시,만사형통충전소,충청북도 충주시  충원대로 713 (금릉동),E1,일반,829
A0013153,충북 충주시,(주)일광 충주충전소,충북 충주시 팽고리산길 103 (금릉동),S-OIL,일반,829
A0013189,충북 충주시,㈜현대일진충전소,충북 충주시 중원대로 3054,현대오일뱅크,일반,807
A0013244,충북 충주시,(주)인엔아웃 충주(하)주유소/충전소,충청북도 충주시 중앙탑면 중부내륙고속도로 231-1,SK에너지,일반,853
A0013245,충북 충주시,(주)부자충주(상)주유소/충전소,충청북도 충주시 중앙탑면 중부내륙고속도로 230-1,GS칼텍스,일반,849
A0013253,충북 충주시,능암온천충전소,충청북도 충주시 앙성면 북부로 1569,S-OIL,일반,828
A0006887,충북 제천시,신월LPG충전소,충북 제천시 제천북로 547 (신월동),GS칼텍스,일반,813
A0009234,충북 제천시,신제천충전소,충청북도 제천시 송학면 북부로 3276,SK가스,일반,829
A0013291,충북 제천시,대동LPG충전소,충북 제천시 용두대로 360 (신월동),E1,일반,813
A0013293,충북 제천시,제천가스충전소,충북 제천시 내토로 156 (천남동),S-OIL,일반,819
A0013301,충북 제천시,서제천충전소,충청북도 제천시 백운면 291-0,E1,일반,815
A0013311,충북 제천시,우리LPG충전소,충북 제천시 청풍호로 360 (산곡동),GS칼텍스,일반,820
A0013355,충북 제천시,제천ic충전소,충청북도 제천시  제천북로 271 (왕암동) 제천ic충전소,SK에너지,일반,813
A0013383,충북 제천시,신동가스충전소,충북 제천시 내토로 59 (신동),SK가스,일반,823
A0013483,충북 제천시,(주)세운가스충전소,충북 제천시 청전대로 260 (장락동),SK가스,일반,832
A0013494,충북 제천시,새단장제천충전소,충북 제천시 송학면 북부로 3392,E1,일반,820
A0013506,충북 제천시,대성석유(주)가스충전소,충북 제천시 단양로 3421 (동현동),GS칼텍스,일반,830
A0013525,충북 제천시,제천중앙LPG충전소,충청북도 제천시  내토로 728 (장락동),E1,일반,831
A0012634,충북 보은군,현대오일뱅크보은현대,충북 보은군 보은읍 보청대로 1670,현대오일뱅크,일반,818
A0012683,충북 보은군,연안가스충전소,충북 보은군 보은읍 남부로 5039,GS칼텍스,일반,819
A0012717,충북 보은군,(주)에스피씨삼립속리산(청원)주유소,충북 보은군 마로면 적암길 56-18,SK에너지,셀프,840
A0012590,충북 옥천군,한밭LPG충전소,충북 옥천군 군북면 옥천로 882,SK가스,일반,814
A0012668,충북 옥천군,옥천IC충전소,충청북도 옥천군 옥천읍 동부로 95,E1,일반,821
A0012675,충북 옥천군,삼양가스충전소,충북 옥천군 옥천읍 성왕로 1141,현대오일뱅크,일반,819
A0012713,충북 옥천군,보령물산(주)옥천(서울)주유소/충전소,충청북도 옥천군 옥천읍 옥천동이로 242-34,현대오일뱅크,셀프,851
A0012720,충북 옥천군,옥천(부산방향)주유소/충전소,충북 옥천군 옥천읍 서대구일로 265-19,S-OIL,셀프,833
A0012614,충북 영동군,대영가스충전소,충북 영동군 영동읍 회동로 50,SK에너지,일반,822
A0012671,충북 영동군,우성가스 충전소,충청북도 영동군 영동읍 난계로 841,E1,일반,822
A0012690,충북 영동군,(유)영동가스충전소,충청북도 영동군 영동읍 대학로 143,GS칼텍스,일반,822
A0012711,충북 영동군,보령물산(주)황간(부산)주유소/충전소,충북 영동군 황간면 회포길 102,GS칼텍스,일반,851
A0012153,충북 진천군,파주가스충전소,충북 진천군 덕산면 덕금로 711,SK가스,일반,819
A0012203,충북 진천군,금정LPG충전소,충북 진천군 문백면 생거진천로 739,S-OIL,일반,822
A0012213,충북 진천군,진천가스 충전소,충북 진천군 진천읍 진광로 82-4,SK에너지,일반,822
A0012480,충북 진천군,진천IC충전소,충북 진천군 진천읍 덕금로 106-26,GS칼텍스,일반,818
A0012493,충북 진천군,(주)조이에너지 광혜원충전소,충북 진천군 광혜원면 진광로 1436,GS칼텍스,일반,758
A0032679,충북 진천군,남북주유소/충전소,충북 진천군 이월면 생거진천로 2001,자가상표,일반,779
A0012185,충북 괴산군,괴산가스충전소,충청북도 괴산군 괴산읍 읍내로 171,현대오일뱅크,일반,811
A0013236,충북 괴산군,(주)괴산(상)주유소충전소,충청북도 괴산군 장연면 중부내륙고속도로 204,SK에너지,일반,849
A0013260,충북 괴산군,괴산(마산)주유소충전소,충청북도 괴산군 장연면 104-0,현대오일뱅크,일반,851
A0009245,충북 음성군,서울가스충전소,충청북도 음성군 대소면 대금로 789,E1,일반,820
A0012812,충북 음성군,음성IC충전소,충북 음성군 대소면 대금로 195,현대오일뱅크,일반,812
A0012905,충북 음성군,음성LPG충전소,충북 음성군 감곡면 음성로 2584,E1,일반,823
A0012934,충북 음성군,오생LPG충전소,충북 음성군 생극면 대금로 2083,GS칼텍스,일반,822
A0013003,충북 음성군,한금령LPG충전소, 충청북도 음성군 원남면 충청대로 802,SK에너지,일반,783
A0013148,충북 음성군,(주)대영에너지(음성),충북 음성군 음성읍 예술로 81,GS칼텍스,일반,799
A0013159,충북 음성군,(주)현대LPG충전소,충청북도 음성군 금왕읍 대금로 1193,E1,일반,822
A0013169,충북 음성군,명품상사주식회사,충청북도 음성군 감곡면 북부로778-8,SK에너지,일반,810
A0013178,충북 음성군,일신에너지(주),충북 음성군 음성읍 충청대로 1641,E1,일반,814
A0013193,충북 음성군,주식회사 DY에너지,충청북도 음성군 금왕읍 금일로 208,GS칼텍스,일반,799
A0013209,충북 음성군,한국도로공사 음성(통영)주유소,충청북도 음성군 삼성면 중부고속도로 51,SK가스,셀프,789
A0013211,충북 음성군,대보디앤에스(주) 음성하남주유소,충북 음성군 삼성면 중부고속도로 52,S-OIL,셀프,851
A0013215,충북 음성군,대영가스충전소,충북 음성군 대소면 소석로 65-8,GS칼텍스,일반,789
A0013261,충북 음성군,(주) 바이오시스 금왕(제천)주유소,충청북도 음성군 금왕읍 494-2,SK가스,셀프,845
A0013262,충북 음성군,(주) 바이오시스 금왕(평택)주유소,충북 음성군 금왕읍 평택제천 고속도로 69,SK가스,셀프,845
A0014075,충북 음성군,백마령LPG충전소,충청북도 음성군 원남면 충청대로 260-20,E1,일반,783
A0013342,충북 단양군,신단양충전소,충청북도 단양군 단양읍 상진17길 11,SK가스,일반,776
A0013430,충북 단양군,단양충전소,충북 단양군 단양읍 별곡3로 82,SK에너지,일반,830
A0013482,충북 단양군,(주)성한-평동주유소/충전소,충북 단양군 매포읍 단양로 2010,SK에너지,일반,830
A0013516,충북 단양군,(주)광동유통단양(춘천방향)주유소/충전소,충청북도 단양군 단성면 하방3길 100,GS칼텍스,일반,828
A0013536,충북 단양군,단양(부산)충전소/주유소,충청북도 단양군 적성면 기동리 산74-1,GS칼텍스,일반,851
A0012038,충북 증평군,가나안 LPG 충전소,충북 증평군 증평읍 중부로 2309,SK에너지,일반,813
A0012373,충북 증평군,증평LPG충전소,충북 증평군 증평읍 충청대로 1925,E1,일반,812
A0003457,충남 천안시,우정LPG충전소,충청남도 천안시 동남구 목천읍 남부대로 950,E1,일반,796
A0004009,충남 천안시,(주)케이알산업 입장(상)주유소충전소,충남 천안시 서북구 입장면 연곡길 407,현대오일뱅크,셀프,839
